limitname,max_value,remaining_value,eventdate
DailyBulkApiBatches,15000,4417,2021-06-21 12:14:05
DailyBulkApiBatches,15000,4482,2021-06-21 13:14:33
DailyBulkApiBatches,15000,4573,2021-06-21 15:14:15
DailyBulkApiBatches,15000,4691,2021-06-21 17:14:12
DailyBulkApiBatches,15000,4753,2021-06-21 18:14:05
DailyBulkApiBatches,15000,4892,2021-06-21 20:11:37
DailyBulkApiBatches,15000,4982,2021-06-21 22:14:04
DailyBulkApiBatches,15000,5057,2021-06-21 23:13:05
DailyBulkApiBatches,15000,5099,2021-06-22 00:16:21
DailyBulkApiBatches,15000,5169,2021-06-22 01:14:06
DailyBulkApiBatches,15000,5244,2021-06-22 03:13:46
DailyBulkApiBatches,15000,15000,2021-06-13 16:13:44
DailyBulkApiBatches,15000,15000,2021-06-13 17:13:33
DailyBulkApiBatches,15000,15000,2021-06-13 18:11:16
DailyBulkApiBatches,15000,15000,2021-06-13 19:11:55
DailyBulkApiBatches,15000,15000,2021-06-13 20:13:44
DailyBulkApiBatches,15000,14917,2021-06-13 21:12:04
DailyBulkApiBatches,15000,14796,2021-06-13 22:13:47
DailyBulkApiBatches,15000,14676,2021-06-13 23:13:20
DailyBulkApiBatches,15000,14564,2021-06-14 00:11:41
DailyBulkApiBatches,15000,14436,2021-06-14 01:14:37
DailyBulkApiBatches,15000,14306,2021-06-14 02:13:28
DailyBulkApiBatches,15000,14081,2021-06-14 03:11:20
DailyBulkApiBatches,15000,13826,2021-06-14 04:14:34
DailyBulkApiBatches,15000,13586,2021-06-14 05:14:25
DailyBulkApiBatches,15000,13346,2021-06-14 06:14:13
DailyBulkApiBatches,15000,13106,2021-06-14 07:13:51
DailyBulkApiBatches,15000,12866,2021-06-14 08:14:32
DailyBulkApiBatches,15000,12626,2021-06-14 09:14:22
DailyBulkApiBatches,15000,12386,2021-06-14 10:14:35
DailyBulkApiBatches,15000,12146,2021-06-14 11:13:55
DailyBulkApiBatches,15000,11928,2021-06-14 12:14:19
DailyBulkApiBatches,15000,11704,2021-06-14 13:11:06
DailyBulkApiBatches,15000,11446,2021-06-14 14:14:13
DailyBulkApiBatches,15000,11230,2021-06-14 15:14:14
DailyBulkApiBatches,15000,11026,2021-06-14 16:14:46
DailyBulkApiBatches,15000,10826,2021-06-14 17:13:33
DailyBulkApiBatches,15000,10613,2021-06-14 18:13:53
DailyBulkApiBatches,15000,10411,2021-06-14 19:13:30
DailyBulkApiBatches,15000,10220,2021-06-14 20:14:02
DailyBulkApiBatches,15000,10100,2021-06-14 21:13:54
DailyBulkApiBatches,15000,9981,2021-06-14 22:13:25
DailyBulkApiBatches,15000,9871,2021-06-14 23:12:15
DailyBulkApiBatches,15000,9732,2021-06-15 00:16:39
DailyBulkApiBatches,15000,9624,2021-06-15 01:12:25
DailyBulkApiBatches,15000,9601,2021-06-15 02:13:31
DailyBulkApiBatches,15000,9491,2021-06-15 03:13:46
DailyBulkApiBatches,15000,9420,2021-06-15 04:13:21
DailyBulkApiBatches,15000,9349,2021-06-15 05:13:21
DailyBulkApiBatches,15000,9251,2021-06-15 06:14:13
DailyBulkApiBatches,15000,9128,2021-06-15 07:14:55
DailyBulkApiBatches,15000,9054,2021-06-15 08:12:30
DailyBulkApiBatches,15000,8922,2021-06-15 09:13:33
DailyBulkApiBatches,15000,8793,2021-06-15 10:14:28
DailyBulkApiBatches,15000,8673,2021-06-15 11:14:02
DailyBulkApiBatches,15000,8535,2021-06-15 12:13:36
DailyBulkApiBatches,15000,8417,2021-06-15 13:14:01
DailyBulkApiBatches,15000,8273,2021-06-15 14:14:49
DailyBulkApiBatches,15000,8117,2021-06-15 15:14:05
DailyBulkApiBatches,15000,7975,2021-06-15 16:14:37
DailyBulkApiBatches,15000,7851,2021-06-15 17:13:36
DailyBulkApiBatches,15000,7748,2021-06-15 18:13:13
DailyBulkApiBatches,15000,7716,2021-06-15 19:13:33
DailyBulkApiBatches,15000,7664,2021-06-15 20:12:57
DailyBulkApiBatches,15000,7612,2021-06-15 21:13:39
DailyBulkApiBatches,15000,7552,2021-06-15 22:14:07
DailyBulkApiBatches,15000,7504,2021-06-15 23:14:29
DailyBulkApiBatches,15000,7450,2021-06-16 00:16:18
DailyBulkApiBatches,15000,7408,2021-06-16 01:13:46
DailyBulkApiBatches,15000,9366,2021-06-16 02:14:52
DailyBulkApiBatches,15000,9301,2021-06-16 03:13:48
DailyBulkApiBatches,15000,9165,2021-06-16 05:13:46
DailyBulkApiBatches,15000,9406,2021-06-16 06:14:09
DailyBulkApiBatches,15000,9641,2021-06-16 07:11:37
DailyBulkApiBatches,15000,9885,2021-06-16 08:11:19
DailyBulkApiBatches,15000,9736,2021-06-16 09:14:25
DailyBulkApiBatches,15000,11787,2021-06-16 10:14:37
DailyBulkApiBatches,15000,11682,2021-06-16 11:13:17
DailyBulkApiBatches,15000,11430,2021-06-16 12:13:39
DailyBulkApiBatches,15000,11679,2021-06-16 13:13:00
DailyBulkApiBatches,15000,12257,2021-06-16 16:13:50
DailyBulkApiBatches,15000,12128,2021-06-16 18:13:32
DailyBulkApiBatches,15000,12316,2021-06-16 20:11:46
DailyBulkApiBatches,15000,12172,2021-06-16 21:14:19
DailyBulkApiBatches,15000,12057,2021-06-16 23:13:42
DailyBulkApiBatches,15000,12244,2021-06-17 00:11:50
DailyBulkApiBatches,15000,13436,2021-06-17 02:14:02
DailyBulkApiBatches,15000,12975,2021-06-17 03:13:28
DailyBulkApiBatches,15000,12281,2021-06-17 04:12:10
DailyBulkApiBatches,15000,11663,2021-06-17 05:13:30
DailyBulkApiBatches,15000,11051,2021-06-17 07:11:47
DailyBulkApiBatches,15000,10673,2021-06-17 09:11:26
DailyBulkApiBatches,15000,10904,2021-06-17 10:13:13
